Time;Battery Voltage(V);Charge Current(A);Load Current(A);Temperature Ambiante(C);Modem Voltage(V);


2022-07-10T16:45:29;27.48;0.00;1.13;37.47;24.26;
2022-07-10T17:00:29;27.63;0.01;1.13;37.19;24.26;
2022-07-10T17:15:29;27.27;0.00;1.13;36.94;24.26;
2022-07-10T17:30:29;26.92;0.93;1.16;36.88;24.28;
2022-07-10T17:45:29;27.19;1.71;1.16;37.38;24.26;
2022-07-10T18:00:30;27.28;1.13;1.16;37.75;24.26;
2022-07-10T18:15:29;27.22;0.95;1.15;37.88;24.26;
2022-07-10T18:45:29;26.95;0.66;1.17;37.75;24.26;
2022-07-10T19:00:28;26.98;0.53;1.16;37.69;24.26;
2022-07-10T19:15:28;27.33;0.37;1.15;37.63;24.26;
2022-07-10T19:30:29;27.66;0.23;1.13;37.47;24.26;
2022-07-10T19:45:28;27.05;-0.01;1.14;36.59;24.28;
2022-07-10T20:00:27;26.88;0.09;1.15;36.25;24.26;
2022-07-10T20:15:28;26.80;0.08;1.18;35.81;24.28;
2022-07-10T20:30:28;26.72;0.05;1.15;35.41;24.26;
2022-07-10T20:45:28;26.70;0.01;1.15;35.03;24.26;
2022-07-10T21:00:29;26.63;-0.00;1.17;34.44;24.28;
2022-07-10T21:15:28;26.64;0.01;1.16;33.84;24.28;
2022-07-10T21:30:29;26.63;0.01;1.16;33.44;24.28;
2022-07-10T21:45:29;26.63;0.01;1.18;33.06;24.28;
2022-07-10T22:00:29;26.61;0.00;1.16;32.75;24.28;
2022-07-10T22:15:28;26.63;0.01;1.17;32.47;24.28;
2022-07-10T22:30:29;26.63;0.00;1.15;32.22;24.28;
2022-07-10T22:45:29;26.63;-0.01;1.16;32.00;24.28;
2022-07-10T23:00:29;26.61;-0.00;1.15;31.80;24.28;
2022-07-10T23:15:28;26.64;-0.00;1.15;31.63;24.28;
2022-07-10T23:30:28;26.61;0.00;1.14;31.42;24.28;
2022-07-10T23:45:29;26.61;0.00;1.16;31.25;24.28;
2022-07-11T00:00:29;26.59;-0.00;1.15;31.09;24.28;
2022-07-11T00:15:29;26.59;0.00;1.15;30.92;24.28;
2022-07-11T00:30:28;26.59;0.00;1.15;30.75;24.28;
2022-07-11T00:45:28;26.61;0.01;1.14;30.58;24.29;
2022-07-11T01:00:29;26.59;-0.00;1.15;30.39;24.28;
2022-07-11T01:15:28;26.59;0.01;1.16;30.22;24.28;
2022-07-11T01:30:28;26.59;-0.00;1.15;30.08;24.28;
2022-07-11T01:45:28;26.59;0.01;1.14;29.95;24.28;
2022-07-11T02:00:28;26.58;-0.00;1.14;29.84;24.28;
2022-07-11T02:15:29;26.58;-0.00;1.16;29.73;24.28;
2022-07-11T02:30:29;26.59;0.01;1.18;29.64;24.28;
2022-07-11T02:45:29;26.58;0.00;1.15;29.55;24.28;
2022-07-11T03:00:28;26.58;0.01;1.15;29.44;24.29;
2022-07-11T03:15:28;26.58;0.00;1.15;29.33;24.29;
2022-07-11T03:30:28;26.58;0.01;1.16;29.22;24.29;
2022-07-11T03:45:29;26.58;0.01;1.15;29.08;24.28;
2022-07-11T04:00:29;26.58;0.00;1.15;28.97;24.28;
2022-07-11T04:15:29;26.59;0.02;1.14;28.91;24.28;
2022-07-11T04:30:28;26.58;0.00;1.16;28.84;24.29;
2022-07-11T04:45:29;26.56;0.00;1.15;28.75;24.29;
2022-07-11T05:00:29;26.56;0.00;1.14;28.66;24.28;
2022-07-11T05:15:28;26.58;0.01;1.05;28.91;24.29;
2022-07-11T05:30:28;26.58;0.02;1.04;29.33;24.28;
2022-07-11T05:45:29;26.59;0.03;1.05;29.75;24.28;
2022-07-11T06:00:30;26.58;0.13;1.05;30.13;24.28;
2022-07-11T06:15:28;26.61;0.24;1.04;30.55;24.28;
2022-07-11T06:30:28;26.59;0.32;1.05;30.98;24.26;
2022-07-11T06:45:28;26.61;0.50;1.04;31.42;24.28;
2022-07-11T07:00:28;26.64;0.66;1.04;31.89;24.26;
2022-07-11T07:15:29;26.64;0.47;1.05;32.31;24.26;
2022-07-11T07:30:28;26.64;0.55;1.05;32.59;24.26;
2022-07-11T07:45:28;26.66;0.83;1.04;32.84;24.26;
2022-07-11T08:00:29;26.70;1.17;1.04;33.38;24.26;
2022-07-11T08:15:28;26.84;2.25;1.06;34.25;24.26;
2022-07-11T08:30:29;26.84;1.81;1.15;34.81;24.26;
2022-07-11T08:45:29;26.86;1.53;1.14;34.91;24.28;
2022-07-11T09:00:28;26.84;1.82;1.16;34.78;24.28;
2022-07-11T09:15:28;26.91;2.09;1.16;34.88;24.26;
2022-07-11T09:30:28;26.92;2.30;1.16;35.03;24.28;
2022-07-11T09:45:28;26.88;1.97;1.16;35.22;24.28;
2022-07-11T10:00:28;26.97;3.53;1.17;35.47;24.26;
2022-07-11T10:15:28;26.92;3.23;1.18;35.94;24.28;
2022-07-11T10:30:29;27.06;5.17;1.18;36.72;24.26;
2022-07-11T10:45:28;27.06;5.13;1.17;37.84;24.26;
2022-07-11T11:00:29;27.17;5.42;1.18;38.88;24.26;
2022-07-11T11:15:28;27.41;4.87;1.17;39.59;24.26;
2022-07-11T11:30:28;27.50;-0.01;1.15;39.31;24.26;
2022-07-11T11:45:29;26.92;-0.00;1.15;38.31;24.26;
2022-07-11T12:00:53;27.30;-0.00;1.14;38.00;24.26;
2022-07-11T12:15:52;27.17;-0.00;1.16;37.59;24.26;
2022-07-11T12:30:28;27.47;-0.00;1.15;37.47;24.26;
2022-07-11T12:45:28;27.17;-0.00;1.16;37.44;24.26;
2022-07-11T13:00:29;27.45;-0.00;1.14;38.06;24.24;
2022-07-11T13:15:28;26.94;0.96;1.16;37.94;24.26;
2022-07-11T13:30:28;27.45;4.15;1.16;38.25;24.26;
2022-07-11T13:45:30;26.92;-0.00;1.16;37.72;24.26;
2022-07-11T14:00:28;26.98;-0.00;1.16;37.88;24.26;
2022-07-11T14:15:28;27.55;1.82;1.15;38.56;24.26;
2022-07-11T14:45:28;27.48;2.05;1.19;38.50;24.26;
2022-07-11T15:00:29;26.97;-0.00;1.15;38.13;24.26;
2022-07-11T15:15:28;27.03;1.26;1.16;38.47;24.26;
2022-07-11T15:30:28;27.30;1.60;1.16;38.75;24.26;
2022-07-11T15:45:29;27.33;-0.00;1.16;38.63;24.26;
2022-07-11T16:00:32;27.27;1.58;1.17;38.59;24.26;
2022-07-11T16:15:28;26.92;-0.00;1.18;38.50;24.26;
2022-07-11T16:30:28;27.05;0.00;1.17;38.88;24.26;
2022-07-11T16:45:28;27.56;3.58;1.16;39.31;24.26;
2022-07-11T17:00:29;27.00;2.40;1.18;39.03;24.26;
2022-07-11T17:15:28;27.55;0.00;1.16;39.81;24.26;
2022-07-11T17:30:37;27.08;0.00;1.15;39.16;24.26;
2022-07-11T17:45:28;27.11;0.00;1.16;38.75;24.26;
2022-07-11T18:00:28;27.08;0.00;1.17;38.50;24.26;
2022-07-11T18:15:28;27.09;0.00;1.15;38.41;24.26;
2022-07-11T18:30:29;27.06;0.00;1.16;38.41;24.26;
2022-07-11T18:45:28;27.08;0.00;1.16;38.28;24.26;
2022-07-11T19:00:29;27.08;-0.00;1.15;37.94;24.26;
2022-07-11T19:15:28;27.16;-0.00;1.16;37.69;24.26;
2022-07-11T19:30:29;27.31;0.01;1.16;37.44;24.26;
2022-07-11T19:45:29;27.20;-0.00;1.16;37.16;24.26;
2022-07-11T20:00:29;26.98;-0.00;1.18;36.78;24.26;
2022-07-11T20:15:29;26.95;0.01;1.17;36.44;24.26;
2022-07-11T20:30:28;26.81;0.00;1.18;36.50;24.26;
2022-07-11T20:45:28;26.72;0.00;1.18;36.03;24.26;
2022-07-11T21:00:29;26.70;0.00;1.15;35.69;24.28;
2022-07-11T21:15:28;26.67;0.01;1.20;35.38;24.28;
2022-07-11T21:30:28;26.67;0.01;1.17;35.13;24.28;
2022-07-11T21:45:28;26.64;0.01;1.16;34.94;24.28;
2022-07-11T22:00:28;26.63;0.00;1.16;34.78;24.26;
2022-07-11T22:15:28;26.64;0.00;1.16;34.66;24.26;
2022-07-11T22:30:28;26.63;0.01;1.18;34.53;24.26;
2022-07-11T22:45:28;26.64;0.00;1.16;34.38;24.26;
2022-07-11T23:00:28;26.64;0.00;1.17;34.19;24.26;
2022-07-11T23:15:28;26.63;0.00;1.18;34.06;24.26;
2022-07-11T23:30:28;26.64;0.01;1.17;33.94;24.28;
2022-07-11T23:45:29;26.64;0.01;1.16;33.81;24.26;
2022-07-12T00:00:28;26.63;0.00;1.16;33.75;24.28;
2022-07-12T00:15:29;26.63;0.00;1.16;33.63;24.28;
2022-07-12T00:30:30;26.64;0.01;1.16;33.56;24.28;
2022-07-12T00:45:29;26.63;0.01;1.17;33.47;24.26;
2022-07-12T01:00:29;26.61;0.01;1.18;33.34;24.28;
2022-07-12T01:15:28;26.59;0.00;1.16;33.19;24.28;
2022-07-12T01:30:28;26.59;0.01;1.16;33.00;24.28;
2022-07-12T01:45:28;26.61;0.00;1.17;32.91;24.28;
2022-07-12T02:00:28;26.63;0.01;1.15;32.84;24.28;
2022-07-12T02:15:28;26.63;0.01;1.16;32.84;24.28;
2022-07-12T02:30:29;26.66;0.01;1.16;32.84;24.28;
2022-07-12T02:45:28;26.72;0.01;1.14;32.94;24.28;
2022-07-12T03:00:28;26.73;0.00;1.15;33.03;24.28;
2022-07-12T03:15:28;26.81;0.01;1.14;33.09;24.28;
2022-07-12T03:30:29;26.84;0.01;1.15;33.03;24.28;
2022-07-12T03:45:29;26.77;0.01;1.15;32.88;24.26;
2022-07-12T04:00:28;26.88;0.01;1.14;32.72;24.28;
2022-07-12T04:15:29;26.86;0.01;1.14;32.41;24.28;
2022-07-12T04:30:29;26.84;0.01;1.15;31.84;24.28;
2022-07-12T04:45:28;26.78;0.00;1.14;31.23;24.28;
2022-07-12T05:00:28;26.70;0.00;1.15;30.59;24.28;
2022-07-12T05:15:29;26.67;0.02;1.15;29.95;24.28;
2022-07-12T05:30:28;26.63;0.01;1.15;29.45;24.28;
2022-07-12T05:45:30;26.64;-0.01;1.14;29.45;24.28;
2022-07-12T06:00:28;26.61;-0.00;1.04;29.28;24.29;
2022-07-12T06:15:29;26.66;0.01;1.03;29.31;24.28;
2022-07-12T06:30:28;26.64;0.01;1.04;29.39;24.28;
2022-07-12T06:45:29;26.61;0.08;1.04;29.56;24.28;
2022-07-12T07:00:29;26.63;0.10;1.05;29.81;24.28;
2022-07-12T07:15:29;26.61;0.12;1.05;30.02;24.28;
2022-07-12T07:30:28;26.61;0.23;1.06;30.19;24.28;
2022-07-12T07:45:28;26.64;0.25;1.04;30.38;24.28;
2022-07-12T08:00:28;26.64;0.34;1.06;30.63;24.28;
2022-07-12T08:15:28;26.66;0.33;1.04;30.84;24.28;
2022-07-12T08:30:30;26.69;0.35;1.03;31.11;24.28;
2022-07-12T08:45:29;26.77;1.95;1.05;31.34;24.26;
2022-07-12T09:00:29;26.81;1.33;1.04;31.98;24.26;
2022-07-12T09:15:28;26.78;0.81;1.05;32.50;24.26;
2022-07-12T09:30:29;26.70;0.46;1.05;32.63;24.28;
2022-07-12T09:45:28;26.70;0.37;1.04;32.88;24.26;
2022-07-12T10:00:28;26.80;1.41;1.05;33.09;24.26;
2022-07-12T10:15:29;26.84;0.64;1.05;33.56;24.26;
2022-07-12T10:30:28;26.84;0.49;1.15;33.72;24.26;
2022-07-12T10:45:28;27.06;5.19;1.14;33.72;24.28;
2022-07-12T11:00:29;27.44;6.07;1.14;34.75;24.28;
2022-07-12T11:15:28;27.17;0.00;1.14;34.66;24.28;
2022-07-12T11:30:28;26.98;0.01;1.14;34.19;24.26;
2022-07-12T11:45:29;27.38;0.00;1.13;34.22;24.28;
2022-07-12T12:00:30;27.53;6.19;1.18;34.59;24.26;
2022-07-12T12:15:29;27.41;-0.00;1.13;34.91;24.26;
2022-07-12T12:30:29;27.48;0.00;1.14;35.41;24.26;
2022-07-12T12:45:28;27.05;0.00;1.14;35.50;24.28;
2022-07-12T13:00:29;27.02;-0.00;1.14;35.84;24.26;
2022-07-12T13:15:29;27.23;0.00;1.15;36.25;24.26;
2022-07-12T13:30:28;27.19;0.00;1.14;36.28;24.26;
2022-07-12T13:45:28;27.17;-0.00;1.16;36.66;24.26;
2022-07-12T14:00:29;27.92;-0.00;1.12;36.75;24.26;
2022-07-12T14:15:29;27.53;-0.01;1.13;36.91;24.26;
2022-07-12T14:30:29;26.92;0.67;1.18;37.16;24.26;
2022-07-12T14:45:30;27.38;1.60;1.16;37.31;24.26;
2022-07-12T15:00:28;27.17;0.00;1.16;36.50;24.26;
2022-07-12T15:15:28;26.94;0.26;1.17;36.09;24.26;
2022-07-12T15:30:29;26.95;0.07;1.16;35.59;24.26;
2022-07-12T15:45:28;26.81;0.10;1.17;34.44;24.28;
2022-07-12T16:00:29;26.69;0.31;1.17;33.44;24.28;
2022-07-12T16:15:28;26.78;2.25;1.17;33.06;24.28;
2022-07-12T16:30:28;27.27;-0.00;1.16;33.56;24.29;
2022-07-12T16:45:28;27.08;-0.01;1.16;33.19;24.28;
2022-07-12T17:00:29;26.92;-0.01;1.15;32.78;24.28;
2022-07-12T17:15:28;27.34;0.01;1.15;33.25;24.28;
2022-07-12T17:30:28;27.06;0.01;1.16;33.16;24.28;
2022-07-12T17:45:28;27.06;1.65;1.15;33.53;24.28;
2022-07-12T18:00:29;27.52;0.54;1.15;34.31;24.28;
2022-07-12T18:15:30;27.52;-0.00;1.13;34.41;24.28;
2022-07-12T18:30:29;27.03;-0.00;1.15;34.16;24.28;
2022-07-12T18:45:28;26.91;0.54;1.16;34.38;24.28;
2022-07-12T19:00:29;26.75;0.12;1.17;34.66;24.28;
2022-07-12T19:15:29;26.72;0.10;1.17;34.47;24.28;
2022-07-12T19:30:29;26.73;0.13;1.16;34.13;24.28;
2022-07-12T19:45:28;26.67;0.41;1.16;33.53;24.28;
2022-07-12T20:00:28;26.64;0.30;1.17;32.97;24.28;
2022-07-12T20:15:30;26.63;0.11;1.17;32.50;24.28;
2022-07-12T20:30:29;26.59;0.06;1.17;32.06;24.29;
2022-07-12T20:45:28;26.58;0.01;1.17;31.61;24.28;
2022-07-12T21:00:29;26.59;-0.00;1.17;30.91;24.29;
2022-07-12T21:15:28;26.58;-0.01;1.17;30.33;24.28;
2022-07-12T21:30:28;26.59;-0.00;1.17;29.92;24.28;
2022-07-12T21:45:29;26.59;0.00;1.18;29.64;24.28;
2022-07-12T22:00:28;26.58;-0.00;1.17;29.47;24.28;
2022-07-12T22:15:28;26.58;0.01;1.16;29.33;24.28;
2022-07-12T22:30:29;26.58;0.01;1.16;29.19;24.28;
2022-07-12T22:45:28;26.58;0.00;1.16;29.05;24.28;
2022-07-12T23:00:28;26.58;-0.01;1.15;28.94;24.29;
2022-07-12T23:15:29;26.56;-0.00;1.16;28.84;24.29;
2022-07-12T23:30:28;26.56;-0.00;1.15;28.75;24.28;
2022-07-12T23:45:28;26.56;-0.00;1.16;28.64;24.29;
2022-07-13T00:00:28;26.56;-0.00;1.15;28.55;24.28;
2022-07-13T00:15:28;26.58;0.00;1.06;28.59;24.28;
2022-07-13T00:30:28;26.58;0.00;1.05;28.83;24.28;
2022-07-13T00:45:29;26.56;0.00;1.05;29.05;24.28;
2022-07-13T01:00:28;26.58;-0.01;1.06;29.27;24.28;
2022-07-13T01:15:28;26.58;0.00;1.03;29.47;24.28;
2022-07-13T01:30:28;26.58;-0.00;1.06;29.66;24.28;
2022-07-13T01:45:29;26.56;-0.01;1.04;29.84;24.28;
2022-07-13T02:00:28;26.58;0.01;1.05;29.98;24.28;
2022-07-13T02:15:28;26.58;0.00;1.05;30.11;24.26;
2022-07-13T02:30:29;26.58;0.00;1.04;30.19;24.28;
2022-07-13T02:45:28;26.58;0.00;1.05;30.23;24.26;
2022-07-13T03:00:28;26.56;-0.00;1.04;30.30;24.28;
2022-07-13T03:15:28;26.56;-0.00;1.05;30.31;24.26;
2022-07-13T03:30:28;26.56;-0.00;1.04;30.34;24.28;
2022-07-13T03:45:28;26.56;0.01;1.05;30.36;24.28;
2022-07-13T04:00:28;26.56;-0.00;1.04;30.36;24.28;
2022-07-13T04:15:30;26.56;0.00;1.04;30.34;24.28;
2022-07-13T04:30:29;26.56;-0.00;1.03;30.31;24.28;
2022-07-13T04:45:29;26.55;-0.00;1.04;30.28;24.28;
2022-07-13T05:00:28;26.56;-0.00;1.02;30.22;24.28;
2022-07-13T05:15:29;26.55;0.01;1.05;30.48;24.26;
2022-07-13T05:30:28;26.56;0.04;1.05;30.63;24.28;
2022-07-13T05:45:28;26.56;0.09;1.04;30.72;24.28;
2022-07-13T06:00:28;26.56;0.14;1.04;30.88;24.28;
2022-07-13T06:15:29;26.56;0.19;1.06;31.05;24.26;
2022-07-13T06:30:28;26.56;0.24;1.06;31.22;24.26;
2022-07-13T06:45:30;26.58;0.30;1.07;31.45;24.28;
2022-07-13T07:00:28;26.58;0.37;1.09;31.77;24.28;
2022-07-13T07:15:28;26.59;0.51;1.07;32.16;24.26;
2022-07-13T07:30:28;26.61;0.74;1.06;32.72;24.26;
2022-07-13T07:45:28;26.63;0.82;1.07;33.22;24.26;
2022-07-13T08:00:28;26.64;1.01;1.07;33.53;24.28;
2022-07-13T08:15:29;26.67;1.27;1.17;33.88;24.26;
2022-07-13T08:30:28;26.67;1.13;1.16;33.97;24.28;
2022-07-13T08:45:30;26.69;1.48;1.20;34.09;24.28;
2022-07-13T09:00:28;26.84;3.14;1.18;34.69;24.28;
2022-07-13T09:15:29;26.91;3.38;1.17;35.28;24.28;
2022-07-13T09:30:28;26.94;3.76;1.17;35.72;24.28;
2022-07-13T09:45:29;26.95;4.17;1.18;36.47;24.28;
2022-07-13T10:00:29;26.97;4.45;1.17;37.38;24.26;
2022-07-13T10:15:29;26.98;4.72;1.19;38.22;24.28;
2022-07-13T10:30:29;27.00;4.98;1.20;39.00;24.28;
2022-07-13T10:45:29;27.02;5.26;1.20;39.81;24.26;
2022-07-13T11:00:30;27.03;5.65;1.18;40.41;24.26;
2022-07-13T11:15:29;27.09;6.30;1.20;41.25;24.26;
2022-07-13T11:30:29;27.13;6.30;1.22;41.34;24.26;
2022-07-13T11:45:29;26.84;1.09;1.18;41.59;24.26;
2022-07-13T12:00:29;27.11;6.72;1.18;40.94;24.26;
2022-07-13T12:15:29;27.38;3.10;1.17;41.19;24.28;
2022-07-13T12:30:29;27.16;-0.00;1.17;40.59;24.26;
2022-07-13T12:45:30;27.25;1.72;1.18;39.69;24.26;
2022-07-13T13:00:28;26.97;-0.00;1.17;38.56;24.24;
2022-07-13T13:15:29;27.17;-0.00;1.17;38.22;24.26;
2022-07-13T13:30:30;27.53;-0.01;1.15;38.16;24.26;
2022-07-13T13:45:28;26.97;-0.01;1.16;37.97;24.26;
2022-07-13T14:00:28;27.25;0.01;1.17;38.16;24.26;
2022-07-13T14:15:30;27.00;1.55;1.19;38.13;24.26;
2022-07-13T14:30:29;27.22;-0.00;1.17;38.19;24.26;
2022-07-13T14:45:30;27.73;5.76;1.15;38.31;24.26;
2022-07-13T15:00:29;26.98;-0.00;1.17;38.16;24.26;
2022-07-13T15:15:29;27.30;-0.01;1.16;38.22;24.26;
2022-07-13T15:30:29;27.00;1.91;1.17;38.13;24.26;
2022-07-13T15:45:29;27.22;-0.01;1.17;38.19;24.26;
2022-07-13T16:00:29;27.58;4.80;1.16;38.22;24.26;
2022-07-13T16:15:29;26.92;-0.00;1.18;37.94;24.26;
2022-07-13T16:30:29;27.22;-0.00;1.16;38.34;24.26;
2022-07-13T16:45:28;27.20;3.45;1.17;38.19;24.26;
2022-07-13T17:00:29;27.06;0.01;1.18;38.00;24.26;
2022-07-13T17:15:29;27.33;2.49;1.17;38.16;24.26;
2022-07-13T17:30:29;27.05;0.00;1.17;37.81;24.28;
2022-07-13T17:45:29;27.19;1.56;1.18;37.94;24.26;
2022-07-13T18:00:29;27.48;1.13;1.18;38.31;24.26;
2022-07-13T18:15:29;27.45;0.81;1.16;38.38;24.28;
2022-07-13T18:30:29;27.17;0.64;1.17;38.31;24.26;
2022-07-13T18:45:28;26.92;0.40;1.18;38.25;24.26;
2022-07-13T19:00:29;26.78;0.21;1.17;38.09;24.28;
2022-07-13T19:15:29;26.69;0.24;1.18;37.66;24.26;
2022-07-13T19:30:28;26.64;0.17;1.17;37.13;24.28;
2022-07-13T19:45:28;26.63;0.18;1.16;36.47;24.26;
2022-07-13T20:00:30;26.63;0.25;1.17;35.97;24.26;
2022-07-13T20:15:28;26.63;0.08;1.17;35.72;24.26;
2022-07-13T20:30:29;26.61;0.02;1.17;35.31;24.26;
2022-07-13T20:45:30;26.61;0.00;1.18;34.84;24.28;
2022-07-13T21:00:29;26.61;0.01;1.17;34.00;24.28;
2022-07-13T21:15:29;26.61;0.00;1.17;33.47;24.28;
2022-07-13T21:30:29;26.61;0.01;1.16;33.03;24.28;
2022-07-13T21:45:30;26.59;0.01;1.18;32.66;24.28;
2022-07-13T22:00:28;26.59;0.00;1.17;32.34;24.28;
2022-07-13T22:15:29;26.59;0.00;1.17;32.06;24.28;
2022-07-13T22:30:29;26.59;0.01;1.17;31.78;24.28;
2022-07-13T22:45:29;26.59;0.02;1.16;31.55;24.28;
2022-07-13T23:00:29;26.58;0.00;1.16;31.34;24.28;
2022-07-13T23:15:29;26.58;0.01;1.16;31.11;24.28;
2022-07-13T23:30:29;26.58;0.00;1.16;30.91;24.29;
2022-07-13T23:45:28;26.58;0.01;1.15;30.72;24.28;
2022-07-14T00:00:29;26.58;0.01;1.16;30.52;24.28;
2022-07-14T00:15:28;26.58;0.01;1.16;30.34;24.28;
2022-07-14T00:30:29;26.58;0.01;1.19;30.20;24.28;
2022-07-14T00:45:29;26.58;0.01;1.16;30.09;24.28;
2022-07-14T01:00:30;26.58;0.01;1.17;30.03;24.28;
2022-07-14T01:15:28;26.56;0.00;1.15;29.98;24.28;
2022-07-14T01:30:30;26.56;0.00;1.17;29.89;24.28;
2022-07-14T01:45:28;26.56;0.01;1.16;29.80;24.29;
2022-07-14T02:00:28;26.58;0.01;1.17;29.72;24.28;
2022-07-14T02:15:29;26.56;0.01;1.17;29.63;24.28;
2022-07-14T02:30:29;26.56;0.01;1.16;29.50;24.28;
2022-07-14T02:45:29;26.56;0.01;1.15;29.31;24.28;
2022-07-14T03:00:30;26.56;0.01;1.16;29.20;24.29;
2022-07-14T03:15:29;26.56;0.01;1.16;29.11;24.29;
2022-07-14T03:30:29;26.56;0.01;1.15;29.02;24.28;
2022-07-14T03:45:28;26.56;0.01;1.16;28.70;24.28;
2022-07-14T04:00:29;26.56;0.01;1.04;28.50;24.28;
2022-07-14T04:15:28;26.56;0.01;1.05;28.59;24.28;
2022-07-14T04:30:30;26.56;0.02;1.06;28.69;24.28;
2022-07-14T04:45:29;26.56;0.01;1.08;28.84;24.28;
2022-07-14T05:00:32;26.56;0.01;1.04;29.03;24.28;
2022-07-14T05:15:29;26.55;0.01;1.06;29.39;24.28;
2022-07-14T05:30:28;26.55;0.02;1.04;29.81;24.28;
2022-07-14T05:45:28;26.55;0.07;1.05;30.06;24.26;
2022-07-14T06:00:28;26.56;0.14;1.05;30.36;24.28;
2022-07-14T06:15:28;26.56;0.20;1.05;30.67;24.28;
2022-07-14T06:30:29;26.56;0.36;1.04;31.00;24.26;
2022-07-14T06:45:29;26.59;0.50;1.05;31.44;24.28;
2022-07-14T07:00:28;26.59;0.54;1.05;31.88;24.26;
2022-07-14T07:15:29;26.59;0.56;1.05;32.28;24.28;
2022-07-14T07:30:28;26.61;0.73;1.06;32.66;24.28;
2022-07-14T07:45:28;26.63;0.80;1.06;33.19;24.28;
2022-07-14T08:00:29;26.66;1.22;1.07;33.88;24.26;
2022-07-14T08:15:29;26.72;2.16;1.17;34.38;24.28;
2022-07-14T08:30:28;26.75;1.75;1.19;35.00;24.26;
2022-07-14T08:45:30;26.78;1.89;1.18;35.03;24.28;
2022-07-14T09:00:30;26.80;1.61;1.16;34.75;24.28;
2022-07-14T09:15:28;26.84;1.90;1.18;34.78;24.28;
2022-07-14T09:30:30;26.80;1.42;1.18;34.69;24.28;
2022-07-14T09:45:28;26.78;1.32;1.18;34.50;24.28;
2022-07-14T10:00:29;26.73;0.90;1.17;34.38;24.28;
2022-07-14T10:15:29;26.78;1.44;1.17;34.00;24.28;
2022-07-14T10:30:29;26.83;1.90;1.15;33.75;24.28;
2022-07-14T10:45:28;26.86;2.05;1.17;33.53;24.28;
2022-07-14T11:00:29;26.86;2.04;1.17;33.53;24.28;
2022-07-14T11:15:28;26.89;2.68;1.17;33.69;24.29;
2022-07-14T11:30:30;26.92;2.94;1.16;33.97;24.28;
2022-07-14T11:45:28;26.91;2.94;1.17;34.50;24.28;
2022-07-14T12:00:29;26.88;2.55;1.18;34.94;24.28;
2022-07-14T12:15:28;26.89;2.85;1.17;35.41;24.28;
2022-07-14T12:30:28;26.89;2.93;1.18;35.97;24.28;
2022-07-14T12:45:28;26.84;1.46;1.22;36.56;24.28;
2022-07-14T13:00:29;26.78;0.93;1.18;36.22;24.28;
2022-07-14T13:15:30;26.75;0.92;1.19;35.47;24.28;
2022-07-14T13:30:28;26.73;0.83;1.19;34.78;24.28;
2022-07-14T13:45:29;26.73;1.01;1.19;34.47;24.28;
2022-07-14T14:00:28;26.75;1.26;1.18;34.41;24.28;
2022-07-14T14:15:28;26.73;1.00;1.18;34.31;24.28;
2022-07-14T14:30:30;26.75;1.47;1.19;34.22;24.28;
2022-07-14T15:00:29;26.80;1.48;1.18;34.47;24.28;
2022-07-14T15:15:29;26.78;1.24;1.18;34.59;24.28;
2022-07-14T15:30:29;26.75;1.19;1.18;34.59;24.28;
2022-07-14T15:45:32;26.84;2.14;1.19;34.81;24.28;
2022-07-14T16:00:29;26.84;1.39;1.18;35.34;24.28;
2022-07-14T16:15:28;26.88;2.07;1.17;35.28;24.28;
2022-07-14T16:30:29;26.94;2.13;1.20;35.84;24.28;
2022-07-14T16:45:28;26.80;1.02;1.17;35.69;24.26;
2022-07-14T17:00:29;26.77;0.92;1.18;35.22;24.28;
2022-07-14T17:15:29;26.78;1.62;1.21;34.81;24.28;
2022-07-14T17:30:29;26.88;2.13;1.18;35.13;24.28;
2022-07-14T17:45:29;26.83;1.59;1.18;35.25;24.28;
2022-07-14T18:00:28;26.80;1.03;1.18;35.34;24.28;
2022-07-14T18:15:29;26.75;0.83;1.20;35.31;24.28;
2022-07-14T18:30:28;26.72;0.51;1.19;35.19;24.28;
2022-07-14T18:45:29;26.67;0.26;1.17;35.06;24.28;
2022-07-14T19:00:28;26.67;0.44;1.19;34.91;24.28;
2022-07-14T19:15:28;26.64;0.27;1.17;34.88;24.28;
2022-07-14T19:30:28;26.63;0.22;1.17;34.81;24.28;
2022-07-14T19:45:28;26.63;0.19;1.18;34.69;24.28;
2022-07-14T20:00:28;26.61;0.13;1.16;34.50;24.28;
2022-07-14T20:15:31;26.61;0.09;1.17;34.13;24.28;
2022-07-14T20:30:28;26.59;0.04;1.16;33.63;24.28;
2022-07-14T20:45:28;26.59;0.01;1.17;33.00;24.29;
2022-07-14T21:00:28;26.58;0.00;1.17;32.13;24.29;
2022-07-14T21:15:29;26.58;0.01;1.16;31.38;24.28;
2022-07-14T21:30:28;26.58;0.01;1.16;30.78;24.28;
2022-07-14T21:45:29;26.56;0.01;1.15;30.30;24.29;
2022-07-14T22:00:28;26.56;0.01;1.16;29.92;24.29;
2022-07-14T22:15:28;26.56;0.00;1.15;29.59;24.28;
2022-07-14T22:30:28;26.55;0.01;1.14;29.30;24.28;
2022-07-14T22:45:29;26.55;-0.00;1.17;29.03;24.29;
2022-07-14T23:00:28;26.55;0.00;1.16;28.78;24.28;
2022-07-14T23:15:28;26.55;0.01;1.06;28.64;24.28;
